track_id,track_name,artist_name,year,popularity,album_name,language,tempo,danceability,energy,valence,acousticness,liveness,speechiness,instrumentalness,duration_ms
3G7867O6gqh3UmpQeeMLDW,Sit Down!,NCT 127,2020,48,NCT #127 Neo Zone - The 2nd Album,Korean,127.981,0.819,0.812,0.719,0.0603,0.043,0.11,2e-05,200200.0
0O22hXRIdbyrnMQk7VldC9,Punch,NCT 127,2020,48,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,Korean,90.946,0.636,0.915,0.511,0.0353,0.0978,0.183,0.0,204000.0
7louodH5FUYuL3yvHQtq3O,BELIEVER,TWICE,2020,48,Eyes Wide Open,Korean,105.009,0.669,0.84,0.483,0.0294,0.663,0.0599,0.0,196947.0
7HzvvhTmfzvD1dV4F7MIcm,SHADOW,TWICE,2020,48,MORE & MORE,Korean,110.8,0.696,0.751,0.478,0.138,0.282,0.161,0.0,168893.0
2APCo1hwAaua9CslYXqALD,BRING IT BACK,TWICE,2020,48,Eyes Wide Open,Korean,115.051,0.842,0.638,0.606,0.207,0.118,0.0684,0.0,208133.0
34WYAVk1WHSyMxY9tHRPyA,DEPEND ON YOU,TWICE,2020,48,Eyes Wide Open,Korean,100.156,0.676,0.597,0.522,0.0953,0.455,0.0387,0.0,198867.0
5u1H4quQm0W3sYP2OqvFIJ,TA,Stray Kids,2020,48,IN LIFE,Korean,126.031,0.639,0.957,0.487,0.00262,0.367,0.236,0.0,208658.0
4GyHQOpfrElhvKjIfXSEf3,One Day,Stray Kids,2020,48,ALL IN,Korean,145.054,0.76,0.81,0.542,0.146,0.072,0.081,0.0,193187.0
0FGeJSm4Iix7OdvjvENrwx,Be In Love,ITZY,2020,48,Not Shy,Korean,95.023,0.77,0.711,0.618,0.0299,0.0781,0.0624,7.07e-05,200033.0
5q8jQnweIge2tgVP86hdfu,Day and Night,DAY6,2020,48,The Book of Us : The Demon,Korean,101.467,0.471,0.86,0.565,0.209,0.186,0.109,0.0,204998.0
39nTNk5MfyiiRupTwn1iyC,Take It Out On Me,Justin Bieber,2020,48,Changes,English,129.967,0.771,0.615,0.29,0.00343,0.104,0.101,2.54e-06,178013.0
7oE9Ptq6M0zJ54bLx5g6XU,Sheikh,Karan Aujla,2020,48,Sheikh,Hindi,90.034,0.806,0.685,0.353,0.0152,0.12,0.146,0.0,255278.0
1iF0JKo3hIKDDzXNtvyZOg,Marakkavillayae(Jersey),Anirudh Ravichander,2019,48,Marakkavillayae(Jersey) [Original Motion Picture Soundtrack],Tamil,157.767,0.403,0.715,0.3,0.139,0.26,0.0456,0.0,237067.0
1qfh3nYl9uQeUPttybLaEm,Akhiyaan Milavanga,"Arijit Singh, Sruthy Sasidharan",2019,48,Commando 3 (Original Motion Picture Soundtrack),Hindi,193.485,0.326,0.603,0.475,0.736,0.0677,0.11,4.05e-06,302319.0
7GviKiN4Ah440NQmENzPwN,"Itni Si Baat Hain (From ""Azhar"")","Arijit Singh, Antara Mitra",2019,48,Arijit Singh Broken Strings,Hindi,155.777,0.559,0.768,0.289,0.494,0.0844,0.0656,0.0,294847.0
3koIkVeaGyzs7cxVy6LBQc,Dil Royi Jaye,Arijit Singh,2019,48,De De Pyaar De,Hindi,99.031,0.593,0.521,0.542,0.731,0.113,0.0269,0.0,256800.0
5ghbwjKyLxrD1Q8913TlgH,"Neethanae (From ""Mersal"")","A.R. Rahman, Shreya Ghoshal",2019,48,Rahman Rewind: Romance,Unknown,73.963,0.57,0.442,0.53,0.716,0.0922,0.043,0.000788,268456.0
2nyTaLu3TTrSS6CAxR3z0b,"Take Me Back To London (Remix) [feat. Stormzy, Jaykae & Aitch]","Ed Sheeran, Jaykae, Aitch, Stormzy",2019,48,"Take Me Back To London (Remix) [feat. Stormzy, Jaykae & Aitch]",English,138.011,0.851,0.667,0.596,0.25,0.19,0.268,0.0,232151.0
3P6PfSiSGXg8oSkqHceYBY,Tomake Female,"Shreya Ghoshal, Arko",2019,48,Parineeta,Unknown,119.897,0.665,0.283,0.352,0.962,0.119,0.0353,2.49e-05,176000.0
