track_id,track_name,artist_name,year,popularity,tempo,danceability,energy,valence,acousticness,liveness,speechiness,instrumentalness,duration_ms,lead_artist
31qCy5ZaophVA81wtlwLc4,Anyone,Justin Bieber,2021,67,115.884,0.686,0.538,0.584,0.181,0.113,0.0345,3.13e-06,190779.0,Justin Bieber
0RP1kqoSPkVXsKiQNhMKzV,mad woman,Taylor Swift,2020,67,141.898,0.593,0.7,0.451,0.67,0.116,0.0492,6.77e-06,237267.0,Taylor Swift
6JlI8Ay77m4nJvZTHvfT1J,peace,Taylor Swift,2020,67,150.072,0.644,0.284,0.328,0.916,0.0909,0.0821,1.5e-05,234000.0,Taylor Swift
3O5osWf1rSoKMwe6E9ZaXP,evermore (feat. Bon Iver),"Taylor Swift, Bon Iver",2020,67,125.177,0.39,0.27,0.32,0.937,0.111,0.0308,0.00227,304107.0,Taylor Swift
1sOW4PuG5X3Ie3EXUhAopJ,Escape From LA,The Weeknd,2020,67,145.74,0.404,0.524,0.168,0.0456,0.199,0.0593,0.00316,355960.0,The Weeknd
4y4spB9m0Q6026KfkAvy9Q,Lonely (with benny blanco),"Justin Bieber, benny blanco",2020,67,79.859,0.631,0.239,0.0927,0.864,0.116,0.0398,0.0,149297.0,Justin Bieber
16wAOAZ2OkqoIDN7TpChjR,Yummy,Justin Bieber,2020,67,145.843,0.677,0.506,0.497,0.345,0.118,0.0964,0.0,208520.0,Justin Bieber
7DrluKkTviBwCc8AV3VGmf,Clandestino,"Shakira, Maluma",2018,67,165.842,0.766,0.822,0.881,0.39,0.349,0.16,3.37e-05,231921.0,Shakira
35QZaWQRkmnAVqBF1TLCxQ,Nancy Mulligan,Ed Sheeran,2017,67,101.993,0.68,0.852,0.858,0.117,0.0866,0.0349,0.0,179787.0,Ed Sheeran
15vzANxN8G9wWfwAJLLMCg,Paris,The Chainsmokers,2017,67,99.999,0.646,0.644,0.251,0.0243,0.0888,0.031,0.0,221520.0,The Chainsmokers
0ifooM33X1iBxVYyOkSbXW,A Lonely Night,The Weeknd,2016,67,113.998,0.853,0.663,0.864,0.0431,0.0891,0.0755,8.71e-06,220173.0,The Weeknd
1mhVXWduD8ReDwusfaHNwU,Tell Your Friends,The Weeknd,2015,67,74.64,0.583,0.454,0.309,0.265,0.181,0.0425,0.0,334333.0,The Weeknd
4UXmlYr1AbcsWsIbrUz2DC,Good Bones,LE SSERAFIM,2024,66,141.076,0.508,0.888,0.594,0.143,0.161,0.162,0.0,160002.0,LE SSERAFIM
0GKDhq6ZbmSbRHd3eyGlB7,Vigilante Shit,Taylor Swift,2023,66,79.962,0.867,0.272,0.157,0.157,0.118,0.363,3.42e-05,164801.0,Taylor Swift
5M787RexsAiVYjQusM98CV,New Romantics (Taylor's Version),Taylor Swift,2023,66,121.978,0.649,0.846,0.698,0.00675,0.0824,0.0602,4.63e-06,230178.0,Taylor Swift
4txojlesMFQZGWxwz2EeqB,"Would've, Could've, Should've",Taylor Swift,2023,66,157.96,0.482,0.837,0.534,0.435,0.123,0.12,0.00147,260362.0,Taylor Swift
2k0ZEeAqzvYMcx9Qt5aClQ,All You Had To Do Was Stay (Taylor's Version),Taylor Swift,2023,66,96.997,0.588,0.721,0.52,0.000656,0.131,0.0317,0.0,193289.0,Taylor Swift
45R112Jz5hQeKgITXgSXzs,Karma,Taylor Swift,2023,66,90.034,0.647,0.614,0.0956,0.0782,0.611,0.0651,0.0,204852.0,Taylor Swift
2VuqMjgoKaOHNM8HpxtXKx,The Great War,Taylor Swift,2023,66,96.009,0.573,0.737,0.592,0.203,0.0851,0.0352,2.78e-05,240356.0,Taylor Swift
1QQii3pa5m8MEda0nbkjfw,Mastermind,Taylor Swift,2023,66,125.977,0.661,0.345,0.126,0.545,0.0871,0.144,0.000915,191039.0,Taylor Swift
4WUepByoeqcedHoYhSNHRt,Welcome To New York (Taylor's Version),Taylor Swift,2023,66,116.998,0.757,0.61,0.685,0.00942,0.367,0.0327,3.66e-05,212600.0,Taylor Swift
27exgla7YBw9DUNNcTIpjy,Wildest Dreams (Taylor's Version),Taylor Swift,2023,66,139.985,0.589,0.674,0.514,0.0436,0.112,0.0656,7.18e-05,220433.0,Taylor Swift
0kwrPQkiGVE8KTHalH1uMo,Super Shy,NewJeans,2023,66,149.921,0.776,0.817,0.515,0.18,0.146,0.0748,3.44e-05,154667.0,NewJeans
5wjsJIUf6pdrwauPDae43o,El Jefe,"Shakira, Fuerza Regida",2023,66,74.962,0.785,0.662,0.964,0.228,0.143,0.0499,0.0,170297.0,Shakira
2iVgM5C7m1G4CJGbms301G,Copa Vacía,"Shakira, Manuel Turizo",2023,66,180.043,0.713,0.651,0.512,0.0741,0.0668,0.0781,0.000775,173548.0,Shakira
7gVWKBcfIW93YxNBi3ApIE,"You're On Your Own, Kid",Taylor Swift,2022,66,120.044,0.694,0.38,0.376,0.416,0.126,0.0614,8.47e-06,194207.0,Taylor Swift
4g2c7NoTWAOSYDy44l9nub,Lavender Haze,Taylor Swift,2022,66,97.038,0.735,0.444,0.0984,0.204,0.17,0.0684,0.0012,202396.0,Taylor Swift
199E1RRrVmVTQqBXih5qRC,Maroon,Taylor Swift,2022,66,108.034,0.658,0.378,0.0382,0.0593,0.0976,0.0379,0.0,218271.0,Taylor Swift
02Zkkf2zMkwRGQjZ7T4p8f,Anti-Hero,Taylor Swift,2022,66,96.953,0.638,0.634,0.519,0.133,0.152,0.0457,1.23e-06,200690.0,Taylor Swift
6Nl7KyvjkFncGsjB49SxLl,Midnight Rain,Taylor Swift,2022,66,139.966,0.636,0.377,0.23,0.71,0.115,0.0708,6.51e-05,174783.0,Taylor Swift
